대분류,소분류,주중(화/수/목),주말(금/토/일/공휴일),하절기 주중(화/수/목),하절기 주말(금/토/일/공휴일)
요기요 R.d-club석,일반,60000,99000,70000,115000
LEXUS 1층 테이블석,일반,55000,88000,65000,100000
NAVER 2층 테이블석,일반,45000,72000,52000,83000
다크버건디석,일반,20000,28000,22500,32000
다크버건디석,어린이,9000,13000,10000,14500
버건디석,일반,18000,25000,20000,29000
버건디석,어린이,8000,12000,10000,14000
3층 지정석,일반,14000,21000,17000,24000
3층 지정석,어린이,7000,10000,8000,11000
4층 지정석,일반,9000,13000,10000,15000
4층 지정석,청소년,7000,10000,8000,11000
4층 지정석,어린이/장애/유공자/군경/경로,4000,6000,4500,7000
외야 지정석,일반,9000,13000,10000,15000
외야 지정석,청소년,7000,10000,8000,11000
외야 지정석,어린이/장애/유공자/군경/경로,4000,6000,4500,7000
외야 지정석,어린이회원/리틀야구단,무료,무료,무료,무료
내야 커플석,일반,33000,50000,40000,60000
외야 커플석,일반,20000,30000,25000,40000
휠체어석,본인+동반1인,10000,15000,11000,16500
외야 패밀리석,4인석,88000,120000,100000,140000
외야 패밀리석,5인석,112000,150000,130000,180000
외야 유아동반석,2인석,44000,60000,50000,70000
