대분류,소분류,주중(월~목),주말(금~일/공휴일)
4층 SKY뷰석,일반,13000,15000
4층 SKY뷰석,청소년,9000,10500
4층 SKY뷰석,어린이/경로/중증장애인/국가유공자/군인,6500,7500
외야 필드석,일반,15000,18000
외야 필드석,청소년,10500,12500
외야 필드석,어린이/경로/중증장애인/국가유공자/군인,7500,9000
내야 필드석,일반,16000,19000
내야 필드석,청소년,11000,13000
내야 필드석,어린이/경로/중증장애인/국가유공자/군인,8000,9500
몰리스 그린존,일반,20000,28000
몰리스 그린존,청소년,14000,19500
몰리스 그린존,어린이,10000,14000
최정 400홈런 기념존,,400,400
휠체어 장애인석,,5000,5000
으쓱이존,,19000,22000
원정응원석,,19000,22000
덕아웃 상단석,,21000,25000
초가정자,,23000,31000
로케트배터리 외야파티덱,,25000,31000
SKY탁자석,,26000,36000
외야패밀리존,,27000,37000
홈런커플존,,32000,41000
이마트 프렌들리존,,34000,41000
이마트 바비큐존/도드람한돈 바비큐존,,37000,48000
요기요 내야패밀리존,,40000,53000
노브랜드 테이블석(2층),,47000,55000
피코크 테이블석(1층),,53000,64000
랜더스 라이브존,,60000,75000
미니스카이박스,,67000,86000
스카이박스,,83000,91000
